,Unnamed: 0,Product Name,OfferPrice,OrignalPrice,Discount,Ratings,Brand,Color,RamSize,Storage,Expandable Storage,Screen Size,Display,RearCamera,FrontCamera,battery,Processor
130,130,POCO C3 ,7499,9999,25,4.3,POCO,Arctic Blue,3,32,512,16.59,1,13,5,5000,Mediatek Helio G35 Processor
131,131,POCO M3 ,10999,12999,15,4.3,POCO,Power Black,6,64,512,16.59,0,48,8,6000,Qualcomm Snapdragon 662 Processor
132,132,POCO M2 Reloaded ,9499,11999,20,4.5,POCO,Mostly Blue,4,64,512,16.59,0,13,8,5000,MediaTek Helio G80 Processor
133,133,OPPO A12 ,9990,11990,16,4.4,OPPO,Blue,4,64,256,15.8,1,13,5,4230,MediaTek Helio P35 Processor
134,134,realme Narzo 20 ,10499,12999,19,4.3,realme,Glory Silver,4,64,256,16.56,1,48,8,6000,MediaTek Helio G85 Processor
135,135,OPPO A12 ,7990,10990,27,4.3,OPPO,Deep Blue,3,32,256,15.8,1,13,5,4230,MediaTek Helio P35 Processor
136,136,OPPO A12 ,7990,10990,27,4.3,OPPO,Blue,3,32,256,15.8,1,13,5,4230,MediaTek Helio P35 Processor
137,137,OPPO A12 ,7990,10990,27,4.3,OPPO,Flowing Silver,3,32,256,15.8,1,13,5,4230,MediaTek Helio P35 Processor
138,138,OPPO A12 ,9990,11990,16,4.4,OPPO,Deep Blue,4,64,256,15.8,1,13,5,4230,MediaTek Helio P35 Processor
139,139,realme Narzo 30A ,9999,10999,9,4.4,realme,Laser Blue,4,64,256,16.54,1,13,8,6000,MediaTek Helio G85 Processor
140,140,realme Narzo 30A ,9999,10999,9,4.4,realme,Laser Black,4,64,256,16.54,1,13,8,6000,MediaTek Helio G85 Processor
141,141,realme Narzo 30A ,8999,9999,10,4.4,realme,Laser Black,3,32,256,16.54,1,13,8,6000,MediaTek Helio G85 Processor
142,142,realme 7 ,15499,20999,26,4.3,realme,Mist Blue,8,128,256,16.51,0,64,16,5000,MediaTek Helio G95 Processor
143,143,realme 7 ,13499,17999,25,4.3,realme,Mist Blue,6,64,256,16.51,0,64,16,5000,MediaTek Helio G95 Processor
144,144,REDMI 9i ,7999,9999,20,4.3,REDMI,Midnight Black,4,64,512,16.59,1,13,5,5000,MediaTek Helio G25 Processor
145,145,REDMI 9i ,7999,9999,20,4.3,REDMI,Sea Blue,4,64,512,16.59,1,13,5,5000,MediaTek Helio G25 Processor
146,146,POCO M3 ,10999,12999,15,4.3,POCO,Cool Blue,6,64,512,16.59,0,48,8,6000,Qualcomm Snapdragon 662 Processor
147,147,REDMI 9i ,7999,9999,20,4.3,REDMI,Nature Green,4,64,512,16.59,1,13,5,5000,MediaTek Helio G25 Processor
148,148,realme C20 ,6799,7999,15,4.5,realme,Cool Blue,2,32,256,16.51,1,8,5,5000,MediaTek Helio G35 Processor
149,149,realme C20 ,6799,7999,15,4.5,realme,Cool Grey,2,32,256,16.51,1,8,5,5000,MediaTek Helio G35 Processor
150,150,POCO M3 ,11999,14999,20,4.3,POCO,Power Black,6,128,512,16.59,0,48,8,6000,Qualcomm Snapdragon 662 Processor
151,151,POCO M3 ,10999,12999,15,4.3,POCO,Yellow,6,64,512,16.59,0,48,8,6000,Qualcomm Snapdragon 662 Processor
152,152,realme C12 ,7999,10999,27,4.4,realme,Power Silver,3,32,256,16.56,1,13,5,6000,Mediatek Helio G35 Processor
153,153,realme C12 ,7999,10999,27,4.4,realme,Power Blue,3,32,256,16.56,1,13,5,6000,Mediatek Helio G35 Processor
154,154,POCO C3 ,7499,9999,25,4.3,POCO,Arctic Blue,3,32,512,16.59,1,13,5,5000,Mediatek Helio G35 Processor
155,155,POCO M3 ,10999,12999,15,4.3,POCO,Power Black,6,64,512,16.59,0,48,8,6000,Qualcomm Snapdragon 662 Processor
156,156,POCO M2 Reloaded ,9499,11999,20,4.5,POCO,Mostly Blue,4,64,512,16.59,0,13,8,5000,MediaTek Helio G80 Processor
157,157,OPPO A12 ,9990,11990,16,4.4,OPPO,Blue,4,64,256,15.8,1,13,5,4230,MediaTek Helio P35 Processor
158,158,realme Narzo 20 ,10499,12999,19,4.3,realme,Glory Silver,4,64,256,16.56,1,48,8,6000,MediaTek Helio G85 Processor
159,159,OPPO A12 ,7990,10990,27,4.3,OPPO,Deep Blue,3,32,256,15.8,1,13,5,4230,MediaTek Helio P35 Processor
160,160,OPPO A12 ,7990,10990,27,4.3,OPPO,Blue,3,32,256,15.8,1,13,5,4230,MediaTek Helio P35 Processor
161,161,OPPO A12 ,7990,10990,27,4.3,OPPO,Flowing Silver,3,32,256,15.8,1,13,5,4230,MediaTek Helio P35 Processor
